# Time, VRMS, Nu
1.997933581476958023e-04 9.961882996284602498e+00 4.825779062479710433e+02
2.012092703350256773e-04 9.961932942392250467e+00 4.825710787652163845e+02
2.026251983829511583e-04 9.961982865526843867e+00 4.825643263778819119e+02
2.040411430113350539e-04 9.962032766034823794e+00 4.825573601851187959e+02
2.054571053556931450e-04 9.962082644237462148e+00 4.825504689424394655e+02
2.068730861853366684e-04 9.962132500464907281e+00 4.825433627285154898e+02
2.082890865693409266e-04 9.962182335026946944e+00 4.825363312623950378e+02
2.097051073258811185e-04 9.962232148237596618e+00 4.825290838712712684e+02
2.111211494543798481e-04 9.962281940395424584e+00 4.825219109759734692e+02
2.125372138210481355e-04 9.962331711798519507e+00 4.825145213998827671e+02
2.139533013528496731e-04 9.962381462734416715e+00 4.825072060290758031e+02
2.153694129629864294e-04 9.962431193485457470e+00 4.824996734175401230e+02
2.167855495035345451e-04 9.962480904328369746e+00 4.824922146717613600e+02
2.182017119335137763e-04 9.962530595529941024e+00 4.824845383000068182e+02
2.196179010281395724e-04 9.962580267356264230e+00 4.824769354537388608e+02
2.210341177907332473e-04 9.962629920058796884e+00 4.824691147515442253e+02
2.224503629181500536e-04 9.962679553893160289e+00 4.824613672244483951e+02
2.238666374564242086e-04 9.962729169095670301e+00 4.824534017617679638e+02
2.252829420228639730e-04 9.962778765911659562e+00 4.824455091228429637e+02
2.266992777045058677e-04 9.962828344562534966e+00 4.824373986118902167e+02
2.281156450383406463e-04 9.962877905283464841e+00 4.824293605776556433e+02
2.295320451505589480e-04 9.962927448281204690e+00 4.824211048817267056e+02
2.309484784974257898e-04 9.962976973780907741e+00 4.824129213066441366e+02
2.323649462424360907e-04 9.963026481974882387e+00 4.824045204047633888e+02
2.337814487610674402e-04 9.963075973078387548e+00 4.823961913054586148e+02
2.351979872520632540e-04 9.963125447269563395e+00 4.823876453267743614e+02
2.366145620104595005e-04 9.963174904753907768e+00 4.823791708522379622e+02
2.380311742682237513e-04 9.963224345695655515e+00 4.823704800615561794e+02
2.394478242405425987e-04 9.963273770290630438e+00 4.823618604989193273e+02
