# Time, VRMS, Nusselt
2.665443279120000009e-02 3.087649775310000066e+01 1.035199375990000004e+00
2.668571223390000038e-02 3.089494305030000021e+01 1.035184672700000030e+00
2.671699915440000142e-02 3.093585916740000030e+01 1.035170065229999992e+00
2.674828244720000095e-02 3.095476418430000010e+01 1.035155559499999933e+00
2.677957292679999934e-02 3.099591271190000086e+01 1.035141151209999943e+00
2.681085985299999988e-02 3.101525813370000151e+01 1.035126846070000051e+00
2.684215368000000129e-02 3.105660992039999968e+01 1.035112640019999919e+00
2.687344403019999856e-02 3.107637453870000144e+01 1.035098538550000002e+00
2.690474100069999847e-02 3.111789924130000173e+01 1.035084537879999989e+00
2.693603457220000025e-02 3.113805992209999829e+01 1.035070643250000089e+00
2.696733448959999849e-02 3.117972606389999868e+01 1.035056851140000012e+00
2.699863108630000050e-02 3.120025773389999912e+01 1.035043166579999951e+00
2.702993376120000138e-02 3.124203277069999984e+01 1.035029586290000081e+00
2.706123319299999844e-02 3.126290842219999888e+01 1.035016115099999912e+00
2.709253844230000152e-02 3.130475881639999969e+01 1.035002749950000078e+00
2.712384052479999835e-02 3.132594953199999921e+01 1.034989495500000078e+00
2.715514817179999832e-02 3.136784083459999906e+01 1.034976348879999897e+00
2.718645272579999980e-02 3.138931583300000128e+01 1.034963314589999905e+00
2.721776259950000124e-02 3.143121277359999866e+01 1.034950389970000106e+00
2.724906945089999866e-02 3.145293947729999928e+01 1.034937579329999968e+00
2.728038138559999923e-02 3.149480606210000033e+01 1.034924880239999956e+00
2.731169036489999868e-02 3.151675018610000123e+01 1.034912296829999967e+00
2.734300419999999981e-02 3.155854980459999837e+01 1.034899826850000037e+00
2.737431514199999832e-02 3.158067546759999900e+01 1.034887474300000054e+00
2.740563072139999903e-02 3.162237100640000165e+01 1.034875237100000067e+00
2.743694346509999854e-02 3.164464086290000111e+01 1.034863119099999951e+00
2.746826063679999944e-02 3.168619482809999965e+01 1.034851118409999993e+00
2.749957502500000039e-02 3.170857022110000045e+01 1.034839238740000056e+00
2.753089364110000020e-02 3.174994486849999831e+01 1.034827478349999996e+00
2.756220951989999876e-02 3.177238600029999915e+01 1.034815840820000110e+00
2.759352943589999871e-02 3.181354347290000106e+01 1.034804324600000047e+00
2.762484665490000033e-02 3.183600959460000013e+01 1.034792933130000092e+00
2.765616772960000080e-02 3.187691206730000104e+01 1.034781664999999906e+00
2.768748614110000048e-02 3.189936168250000037e+01 1.034770523539999987e+00
2.771880823620000156e-02 3.193997151299999970e+01 1.034759507490000008e+00
2.775012769550000077e-02 3.196236259579999839e+01 1.034748620080000014e+00
2.778145067519999928e-02 3.200264248119999877e+01 1.034737860169999912e+00
2.781277103989999999e-02 3.202493270370000289e+01 1.034727230899999961e+00
2.784409477089999987e-02 3.206484584230000223e+01 1.034716731250000077e+00
2.787541590100000091e-02 3.208699281079999821e+01 1.034706364270000067e+00
2.790674025190000018e-02 3.212650306630000330e+01 1.034696129070000081e+00
2.793806200950000110e-02 3.214846456200000091e+01 1.034686028609999919e+00
2.796938685069999889e-02 3.218753663039999680e+01 1.034676062099999960e+00
2.800070909980000022e-02 3.220927085320000316e+01 1.034666232419999998e+00
2.803203430320000064e-02 3.224787042959999894e+01 1.034656538919999980e+00
2.806335690940000085e-02 3.226933624029999947e+01 1.034646984379999912e+00
2.809468234839999912e-02 3.230743018460000116e+01 1.034637568239999972e+00
2.812600517869999830e-02 3.232858734399999889e+01 1.034628293229999940e+00
2.815733072789999847e-02 3.236614384359999974e+01 1.034619158890000001e+00
2.818865365069999837e-02 3.238695324559999733e+01 1.034610167879999931e+00
2.821997918530000024e-02 3.242394197210000328e+01 1.034601319819999921e+00
2.825130207030000090e-02 3.244436586709999659e+01 1.034592617319999963e+00
2.828262746639999964e-02 3.248075812700000142e+01 1.034584060080000034e+00
2.831395018390000032e-02 3.250076033439999890e+01 1.034575650659999901e+00
2.834527531830000058e-02 3.253652920940000115e+01 1.034567388839999991e+00
2.837659773979999897e-02 3.255607531649999942e+01 1.034559277130000066e+00
2.840792248950000168e-02 3.259119579330000249e+01 1.034551315389999893e+00
2.843924448679999856e-02 3.261025333839999973e+01 1.034543506059999896e+00
2.847056872930000052e-02 3.264470242560000202e+01 1.034535849090000070e+00
2.850189017509999895e-02 3.266324106369999924e+01 1.034528346889999950e+00
2.853321378790000043e-02 3.269699789420000258e+01 1.034520999449999978e+00
2.856453455490000001e-02 3.271498954380000157e+01 1.034513809139999907e+00
2.859585741570000103e-02 3.274803546159999712e+01 1.034506776039999965e+00
2.862717737720000058e-02 3.276545443170000027e+01 1.034499902459999898e+00
2.865849936340000154e-02 3.279777306140000093e+01 1.034493188539999942e+00
2.868981839279999974e-02 3.281459615789999873e+01 1.034486636570000062e+00
