# Steps, Time, visc, Nusselt bottom/top, av_T, vrms, surf_rms, surf_max, grav, etamax, etamin
5.469800000000000000e+04 6.657493182926992326e-01 1.942708929008162784e+02 4.637138092348402907e+00 4.200515944890486963e+00 6.520259304617075369e-01 4.143424565941754878e+01 4.278971951305606147e+00 5.304833704678728168e+00 1.933153522907445909e+00 1.956057165597457681e+00 1.960046935638524838e-04
5.479800000000000000e+04 6.670451037911312442e-01 1.831635992000919089e+02 4.524128627012504289e+00 4.015495681311605836e+00 6.526535375977952080e-01 4.175086500857121052e+01 3.575468571345665314e+00 4.458539725547708166e+00 1.820374527499346806e+00 1.952540439601023525e+00 1.959781969204998442e-04
5.489800000000000000e+04 6.683238814023456653e-01 1.738848288751583482e+02 4.416299606903820063e+00 3.855748420762860729e+00 6.533511796390014670e-01 4.219315420760904090e+01 3.111336411769995536e+00 3.902426801005689505e+00 1.725025983037643540e+00 1.944116888924110054e+00 1.959464524313798332e-04
5.499800000000000000e+04 6.695837676263417526e-01 1.660170379864502479e+02 4.311926611220652461e+00 3.717288848411004043e+00 6.540914740450248788e-01 4.271208419853936533e+01 2.799472407873826896e+00 3.529649497074227593e+00 1.651117255412672291e+00 1.953849116545227638e+00 1.959122378227939464e-04
5.509800000000000000e+04 6.708242507132361476e-01 1.593192386790104536e+02 4.208140544297966024e+00 3.596588661864607683e+00 6.548548212349671882e-01 4.328245111827570213e+01 2.590198053076745222e+00 3.279333206966891456e+00 1.590057050026202123e+00 1.957767860542446003e+00 1.958772439095256962e-04
5.519800000000000000e+04 6.720458203557825305e-01 1.535544074716981413e+02 4.107581616584026207e+00 3.490679401298877771e+00 6.556181356256620685e-01 4.387700801601011591e+01 2.460417349847452861e+00 3.127641139863110542e+00 1.528929913842845822e+00 1.953703407795886582e+00 1.958425728327129855e-04
5.529800000000000000e+04 6.732495293186414598e-01 1.486182610460072056e+02 4.006910678035294993e+00 3.397149629174596619e+00 6.563690586745543065e-01 4.447667520165560973e+01 2.381897463556732930e+00 3.038360976927047208e+00 1.485525436200528571e+00 1.961326965587350202e+00 1.958090493405841850e-04
5.539800000000000000e+04 6.744365749950304023e-01 1.444409896885236435e+02 3.905762694106559518e+00 3.314077254505700232e+00 6.570961803709171045e-01 4.507657421822574406e+01 2.340351529103606332e+00 2.993905521102499190e+00 1.444471552033634643e+00 1.962769396262303623e+00 1.957762304877998434e-04
5.549800000000000000e+04 6.756080228201589710e-01 1.409730370788709024e+02 3.805548203390119788e+00 3.239938694148570164e+00 6.577880508092439626e-01 4.567073654508168801e+01 2.328353136165128401e+00 2.986241446233229180e+00 1.409072012731318102e+00 1.952725538466977939e+00 1.957435100960143502e-04
5.559800000000000000e+04 6.767645382372250440e-01 1.382366715499305769e+02 3.704164253080988622e+00 3.173536968610455311e+00 6.584396737744198091e-01 4.626525194306591260e+01 2.332452513167025288e+00 2.994273683844791645e+00 1.390318101208203760e+00 1.956694008680090802e+00 1.957096486401723823e-04
5.569800000000000000e+04 6.779069396307982887e-01 1.361946584483405900e+02 3.605656120358667227e+00 3.113889052582200723e+00 6.590380583269830339e-01 4.685644313068760880e+01 2.356559586242605420e+00 3.029306248302490179e+00 1.366814236303109276e+00 1.959980533863344698e+00 1.956765125222003677e-04
5.579800000000000000e+04 6.790357937766005048e-01 1.348529971127901490e+02 3.509166086810776797e+00 3.060198833359049075e+00 6.595810288212046180e-01 4.745202404513780436e+01 2.395285641192530957e+00 3.081964488839577854e+00 1.351425704487400958e+00 1.956211155333475116e+00 1.956429631618582070e-04
5.589800000000000000e+04 6.801513525170107544e-01 1.342146902827376778e+02 3.415406115949915389e+00 3.011818767765687799e+00 6.600674151621391816e-01 4.806267937659511347e+01 2.446302547865280896e+00 3.149026457462054118e+00 1.346630966386125117e+00 1.958414489626976174e+00 1.956084469562052296e-04
5.599800000000000000e+04 6.812535443675126201e-01 1.342786567111161276e+02 3.325611021490391561e+00 2.968216189926395909e+00 6.604975939391828366e-01 4.869995844311119271e+01 2.508071806348677768e+00 3.228538846113670591e+00 1.347407022992315406e+00 1.954444947944261823e+00 1.955726994121132986e-04
5.609800000000000000e+04 6.823420925112140267e-01 1.350271470619580896e+02 3.241544361180734857e+00 2.928944366847477276e+00 6.608725904576284726e-01 4.937267559038118492e+01 2.579632129593129264e+00 3.319476733705585048e+00 1.355499734266798706e+00 1.949046218641762307e+00 1.955355134840625249e-04
5.619800000000000000e+04 6.834164598651581990e-01 1.364255016158948592e+02 3.164550302754816524e+00 2.893627915023466279e+00 6.611960491375525883e-01 5.008537325637820459e+01 2.660173485500428203e+00 3.420699224986877063e+00 1.369574256538610424e+00 1.952186086806614762e+00 1.954972487758334181e-04
5.629800000000000000e+04 6.844762864010015546e-01 1.384101151323270358e+02 3.096694349784228528e+00 2.861936141488862884e+00 6.614705507528938488e-01 5.083358673357966495e+01 2.749040272705122412e+00 3.531347094907808959e+00 1.381729150215593727e+00 1.954502256767773005e+00 1.954576231145658410e-04
5.639800000000000000e+04 6.855210754832458120e-01 1.409179521389213505e+02 3.037390173479216138e+00 2.833585699334232988e+00 6.617060534887582168e-01 5.162144007086875774e+01 2.845818844869526298e+00 3.650940799478122223e+00 1.407576876950225264e+00 1.955516340436957545e+00 1.954167463493266480e-04
5.649800000000000000e+04 6.865505872084686212e-01 1.438643720042963423e+02 2.987521049831365350e+00 2.808322819674584192e+00 6.619096277531275607e-01 5.243607105120064205e+01 2.949964271779254688e+00 3.778777384878861945e+00 1.437277526177290099e+00 1.955736855197796054e+00 1.939076097726752769e-04
5.659800000000000000e+04 6.875648099112018352e-01 1.471505478620303222e+02 2.947294211159404043e+00 2.785920939517627204e+00 6.620888202289689772e-01 5.326358519129254177e+01 3.060871565250171678e+00 3.914116831023159548e+00 1.470275827375386424e+00 1.955427440987132615e+00 1.896082368284201201e-04
5.669800000000000000e+04 6.885640425646020191e-01 1.506676326081291677e+02 2.916457877066004567e+00 2.766176070656394259e+00 6.622510981695168830e-01 5.408536618536156482e+01 3.177891607229670790e+00 4.056170129200004304e+00 1.505498351265092349e+00 1.954696400313800098e+00 1.852677738309575642e-04
5.679800000000000000e+04 6.895488533012533727e-01 1.543042324747819976e+02 2.894378395775258461e+00 2.748905913926328104e+00 6.624037350653081413e-01 5.487796713372464552e+01 3.303070108884147427e+00 4.204899052288825878e+00 1.541202886939373240e+00 1.920187119157676259e+00 1.809432838828677395e-04
5.689800000000000000e+04 6.905202267682087891e-01 1.579440951598055562e+02 2.880110502666600958e+00 2.733943830589549151e+00 6.625529712738805754e-01 5.562737375838103304e+01 3.427268498949955777e+00 4.356795329448853948e+00 1.578216696266544039e+00 1.951886754122540646e+00 1.767015127188240769e-04
5.699800000000000000e+04 6.914795445328445478e-01 1.614960659108489551e+02 2.872625775071506737e+00 2.721140505191233849e+00 6.627026049902040583e-01 5.630658009358936766e+01 3.558445249285664858e+00 4.513928085403081880e+00 1.613682668931678776e+00 1.949684899141459926e+00 1.726107398753789427e-04
5.709800000000000000e+04 6.924284571279569755e-01 1.648813025432406789e+02 2.870369411264250825e+00 2.710366093064138671e+00 6.628583185250456200e-01 5.690885341612126069e+01 3.692899005642980015e+00 4.674358645596585760e+00 1.656361375306007133e+00 1.946777765934288862e+00 1.687410026413276704e-04
5.719800000000000000e+04 6.933686750516083741e-01 1.680525012069969932e+02 2.872277879489299135e+00 2.701508507886329902e+00 6.630235698340223305e-01 5.742031318078675639e+01 3.830506233234371560e+00 4.837929651118876961e+00 1.688115653109048653e+00 1.944210422317579789e+00 1.651546593409038534e-04
